Section,Score
A,100
A,100
A,100
A,100
A,100
A,100
A,100
A,100
A,100
A,100
A,99.59
A,99.15
A,98.92
A,98.91
A,98.7
A,98.63
A,98.5
A,98.26
A,98.19
A,98.12
A,97.98
A,97.93
A,97.79
A,97.7
A,97.52
A,97.29
A,97.09
A,96.79
A,96.43
A,95.98
A,95.39
A,95.17
A,95.14
A,94.9
A,94.79
A,94.78
A,94.52
A,94.26
A,93.77
A,93.37
A,93.15
A,92.89
A,92.28
A,91.94
A,91.67
A,91.36
A,91.36
A,91.08
A,90.91
A,90.9
A,90.3
A,89.88
A,89.62
A,89.13
A,88.91
A,88.85
A,88.46
A,88.42
A,87.48
A,87.47
A,87.42
A,87.38
A,87.36
A,87.31
A,87.01
A,86.97
A,86.74
A,85.67
A,85.51
A,85.14
A,85.08
A,84.85
A,84.63
A,83.71
A,83.31
A,82.9
A,82.7
A,82.35
A,82.26
A,81.75
A,81
A,80.65
A,80.12
A,79.67
A,79.59
A,79.43
A,79.3
A,78.66
A,77.24
A,77.08
A,75.01
A,74.77
A,74.18
A,73.53
A,72.89
A,72.8
A,71.97
A,71.68
A,71.39
A,69.99
A,69.63
A,69.4
A,69.23
A,69.08
A,67.17
A,65.62
A,63.69
A,60.29
A,59.35
A,58.66
A,58.29
A,52.14
A,51.18
A,22.94
A,12.99
A,9.31
B,99.93
B,99.77
B,99.59
B,99.46
B,99.41
B,99.33
B,99.26
B,99.05
B,99.01
B,98.9
B,98.87
B,98.83
B,98.74
B,98.69
B,98.56
B,98.47
B,98.13
B,97.84
B,97.79
B,97.79
B,97.75
B,97.17
B,97.12
B,96.89
B,96.71
B,96.71
B,96.63
B,96.58
B,96.53
B,96.53
B,96.49
B,96.31
B,96.04
B,95.99
B,95.73
B,95.73
B,95.68
B,95.68
B,95.51
B,95.41
B,95.32
B,95.05
B,94.78
B,94.42
B,94.33
B,94.19
B,94.01
B,93.7
B,93.61
B,93.57
B,93.52
B,93.42
B,93.37
B,93.25
B,93.25
B,93.2
B,92.89
B,92.71
B,92.7
B,92.53
B,92.35
B,92.35
B,92.33
B,92.25
B,92.06
B,91.95
B,91.85
B,91.85
B,91.81
B,91.74
B,91.72
B,91.59
B,91.45
B,91.24
B,90.91
B,90.69
B,90.62
B,90.61
B,90.59
B,90.55
B,90.41
B,90.3
B,90.28
B,89.79
B,89.61
B,89.56
B,89.51
B,89.33
B,89.15
B,89.02
B,89.02
B,88.83
B,88.79
B,88.73
B,88.71
B,88.61
B,88.47
B,88.43
B,88.24
B,87.89
B,87.89
B,87.61
B,87.58
B,87.45
B,87.43
B,87.31
B,86.97
B,86.32
B,86.05
B,85.6
B,85.24
B,85.15
B,84.51
B,84.49
B,84.25
B,84.14
B,83.43
B,82.33
B,80.74
B,76.29
B,76.02
B,73.85
B,72.72
B,72.37
B,71.45
B,52.52
B,17.79
B,0
C,100
C,99.65
C,98.72
C,98.28
C,98.15
C,98.06
C,97.52
C,97.4
C,97.29
C,97.03
C,96.71
C,96.35
C,96.03
C,95.97
C,95.42
C,95.31
C,95.15
C,95.2
C,94.97
C,94.85
C,94.69
C,94.74
C,93.35
C,93.27
C,94.19
C,93.35
C,92.84
C,91.9
C,91.72
C,91.72
C,91.61
C,91.37
C,91.17
C,91.05
C,90.77
C,90.64
C,90.48
C,90.42
C,90.45
C,90.13
C,89.89
C,89.78
C,89.76
C,90.14
C,89.53
C,89.47
C,89.37
C,89.35
C,90.83
C,88.94
C,88.9
C,89.28
C,88.57
C,88.3
C,91.63
C,87.81
C,87.71
C,87.67
C,87.09
C,86.92
C,86.13
C,86.29
C,85.94
C,87.22
C,85.53
C,85.28
C,85.1
C,85.02
C,86.76
C,85.25
C,84.57
C,86.34
C,84.44
C,84.01
C,83.96
C,83.69
C,83.7
C,82.58
C,82.43
C,81.99
C,83.04
C,80.87
C,81.64
C,80.84
C,80.32
C,80.33
C,79.84
C,80.61
C,78.55
C,79.61
C,77.53
C,77.67
C,83.1
C,78.11
C,76.82
C,76.5
C,80.53
C,75.98
C,75.85
C,83.27
C,75.85
C,75.61
C,75.58
C,75.36
C,74.68
C,81.12
C,75.07
C,72.87
C,72.52
C,71.79
C,71.33
C,71.27
C,74.86
C,70.17
C,69.78
C,69.51
C,69.96
C,73.67
C,67.38
C,66.35
C,65.87
C,65.48
C,65.48
C,64.25
C,64.2
C,67.68
C,68.62
C,62.23
C,66.69
C,65.22
C,64.83
C,67.34
C,61.28
C,62.38
C,57.5
C,54.17
C,48.81
C,50.78
C,50.84
C,45.05
C,19.94
C,18.69
C,20.77
C,99.95
