raceid	year	stcd	state	seat	party	redist	fr	law	candnumber	prez	votep	type	incname	candidate	candvotes	tvotes	candpct	winner	inc	definc	gender	qual	office	runoff
"201823051"	2018	"2305"	"minnesota"	2	1	0	0	0	6	79.93000030517578	75.5999984741211	1	"ELLISON, KEITH"	"abdulahi_jamal"	4984	135317	0.03683203086256981	0	0		0			0
"201810061_p"	2018	"1006"	"georgia"	0	1	0	2	0	4	49.209999084472656	38.31999969482422	1	"HANDEL, KAREN"	"abel_kevin"	12747	41742	0.305375874042511	0	0		0			1
"201810061_r"	2018	"1006"	"georgia"	0	1	0	2	0	2	49.209999084472656	38.31999969482422	1	"HANDEL, KAREN"	"abel_kevin"	12431	26935	0.46151846647262573	0	0		0			2
"201834010"	2018	"3401"	"north dakota"	3	0	0	0	0	4	69.80999755859375	74.43000030517578	1	"CRAMER, KEVIN"	"abentroth_tiffany"	5921	66465	0.08908448368310928	0	0		1			0
"201432041"	2014	"3204"	"new york"	2	1	0	9	1	2	56.810001373291016	65.69999694824219	1	"MCCARTHY, CAROLYN"	"abrahams_kevan"	5791	13561	0.427033394575119	0	0		0			0
"201822101"	2018	"2210"	"michigan"	0	1	0	1	0	3	33.119998931884766	33.86000061035156	1	"MITCHELL, PAUL"	"accavitti_frank_jr"	17047	53344	0.31956732273101807	0	0		0			0
"201622101"	2016	"2210"	"michigan"	3	1	0	9	0	1	33.119998931884766	29.950000762939453	0	"MILLER, CANDICE S."	"accavitti_frank_jr"	20710	20710	1.0	1	0		0	1		0
"201832051"	2018	"3205"	"new york"	1	1	0	0	1	3	87.08999633789062	86.83000183105469	1	"MEEKS, GREGORY W."	"achille_carl_h"	1288	13548	0.09506938606500626	0	0		0			0
"201217051"	2012	"1705"	"kentucky"	0	1	1	0	1	2	23.6299991607666	22.600000381469727	1	"ROGERS, HAL"	"ackerman_michael"	11016	23291	0.47297239303588867	0	0		0			0
"201809270"	2018	"0927"	"florida"	3	0	0	9	1	9	39.900001525878906	54.88999938964844	1	"ROS-LEHTINEN, ILEANA"	"adadi_elizabeth"	775	39064	0.01983923837542534	0	0		1			0
"201433031"	2014	"3303"	"north carolina"	0	1	0	0	2	1	41.40999984741211	36.900001525878906	0	"JONES, WALTER B. JR."	"adame_marshall"	1	1	1.0	1	0		0			0
"201433121"	2014	"3312"	"north carolina"	2	1	0	9	2	7	79.05000305175781	79.5999984741211	1		"adams_alma_s"	15235	34623	0.4400254189968109	1	0		1	1		0
"201633121"	2016	"3312"	"north carolina"	1	1	1	1	2	7	70.66000366210938	75.3499984741211	1	"ADAMS, ALMA S."	"adams_alma_s"	12400	29172	0.42506512999534607	1	1		1	2	30	0
"201833121"	2018	"3312"	"north carolina"	1	1	0	0	2	4	70.66000366210938	67.0199966430664	1	"ADAMS, ALMA S."	"adams_alma_s"	38849	45431	0.8551209568977356	1	1		1	2	30	0
"201609270"	2016	"0927"	"florida"	0	0	1	0	1	3	39.900001525878906		1	"ROS-LEHTINEN, ILEANA"	"adams_david_tubbs"	2945	37880	0.07774551212787628	0	0		0			0
"201833051"	2018	"3305"	"north carolina"	0	1	0	0	2	2	40.9900016784668	41.599998474121094	1	"FOXX, VIRGINIA ANN"	"adams_denise_dd"	15509	28496	0.5442517995834351	1	0		1	1		0
"201615031"	2016	"1503"	"iowa"	0	1	0	1	4	3	48.130001068115234	44.459999084472656	1	"YOUNG, DAVID"	"adams_desmund"	3650	26285	0.1388624757528305	0	0		0			0
"201209140"	2012	"0914"	"florida"	1	0	1	0	1	2	34.30999755859375	40.400001525878906	1	"CASTOR, KATHY"	"adams_eddie_jr"	7953	20037	0.3969157040119171	0	0		0			0
"201235030"	2012	"3503"	"ohio"	4	0	1	9	0	2	29.30999755859375		1		"adams_john"	12335	29046	0.4246712028980255	0	0		0			0
"201635030"	2016	"3503"	"ohio"	1	0	0	0	0	1	29.919998168945312	35.939998626708984	0	"BEATTY, JOYCE"	"adams_john"	36851	36851	1.0	1	0		0	1		0
"201435030"	2014	"3503"	"ohio"	1	0	0	1	0	2	29.30999755859375	27.799999237060547	1	"BEATTY, JOYCE"	"adams_john"	10045	17077	0.588218092918396	1	0		0	1		0
"201623061"	2016	"2306"	"minnesota"	0	1	0	1	0	3	36.04999923706055	40.54999923706055	1	"EMMER, TOM"	"adams_judy_evelyn"	3569	9566	0.3730922043323517	0	0		1			0
"201203050"	2012	"0305"	"arizona"	3	0	1	9	2	2	64.83999633789062	69.5	1		"adams_kirk"	38152	79230	0.48153477907180786	0	0		0			0
"201209070"	2012	"0907"	"florida"	0	0	1	0	1	2	52.380001068115234	69.0	1	"ADAMS, SANDRA ���SANDY���"	"adams_sandra_sandy"	20404	52523	0.3884774148464203	0	1		1	2	30	0
"201440051"	2014	"4005"	"south carolina"	0	1	0	0	0	1	44.16999816894531	44.400001525878906	0	"MULVANEY, MICK"	"adams_tom_a"	1	1	1.0	1	0		0	1		0
"201438130"	2014	"3813"	"pennsylvania"	2	0	0	0	1	2	33.19999694824219	30.899999618530273	1	"SCHWARTZ, ALLYSON Y."	"adcock_carson_dee"	10211	15523	0.6577981114387512	1	0		1			0
"201221050"	2012	"2105"	"massachusetts"	1	0	1	0	2	3	33.66999816894531	34.099998474121094	1	"MARKEY, EDWARD J."	"addivinola_frank_john_jr"	3531	11635	0.303480863571167	0	0		0			0
"201801040"	2018	"0104"	"alabama"	0	0	0	0	0	2	82.20999908447266		1	"ADERHOLT, ROBERT"	"aderholt_robert"	93959	115325	0.8147322535514832	1	1		0	2	30	0
"201601040"	2016	"0104"	"alabama"	0	0	0	0	0	2	82.20999908447266		1	"ADERHOLT, ROBERT"	"aderholt_robert"	86660	106756	0.8117576241493225	1	1		0	2	30	0
"201201040"	2012	"0104"	"alabama"	0	0	1	0	0	1	75.70999908447266		0	"ADERHOLT, ROBERT"	"aderholt_robert"	1	1	1.0	1	1		0	2	30	0
"201401040"	2014	"0104"	"alabama"	0	0	0	0	0	1	75.70999908447266	74.0999984741211	0	"ADERHOLT, ROBERT B."	"aderholt_robert_b"	1	1	1.0	1	1		0	2	30	0
"201843121"	2018	"4312"	"texas"	0	1	0	0	0	1	34.209999084472656	27.899999618530273	0	"GRANGER, KAY"	"adia_vanessa"	21018	21018	1.0	1	0		1			0
"201217041"	2012	"1704"	"kentucky"	3	1	1	9	1	2	35.439998626708984	30.5	1		"adkins_william_r_bill"	17209	25078	0.6862189769744873	1	0		0			0
"201230031"	2012	"3003"	"new jersey"	0	1	1	1	4	1	52.31999969482422	48.5	0	"RUNYAN, JON"	"adler_shelley"	15176	15176	1.0	1	0		1			0
"201235061"	2012	"3506"	"ohio"	0	1	1	1	0	2	43.619998931884766	47.29999923706055	1	"JOHNSON, BILL"	"adulewicz_cas"	8117	45491	0.17843089997768402	0	0		0			0
"201220060"	2012	"2006"	"maryland"	0	0	1	0	1	8	43.470001220703125	64.9000015258789	1	"BARTLETT, ROSCOE G."	"afzali_kathy"	4115	40375	0.1019195020198822	0	0		1			0
"201235130"	2012	"3513"	"ohio"	1	0	1	0	0	1	36.0099983215332	36.0	0	"RYAN, TIM"	"agana_marisha"	27754	27754	1.0	1	0		1			0
"201603090"	2016	"0309"	"arizona"	1	0	0	0	2	2	41.25	43.36000061035156	1	"SINEMA, KYRSTEN"	"agra_john"	16817	42780	0.3931042551994324	0	0		0			0
"201213171"	2012	"1317"	"illinois"	0	1	1	1	0	3	58.65999984741211	45.0	1	"SCHILLING, BOBBY"	"aguilar_greg"	6798	34288	0.1982617825269699	0	0		0			0
"201203031"	2012	"0303"	"arizona"	1	1	1	0	2	3	62.459999084472656	53.20000076293945	1	"GRIJALVA, RAU��L M."	"aguirre_amanda"	9484	36633	0.2588922679424286	0	0		1			0
"201611011"	2016	"1101"	"hawaii"	2	1	0	9	0	7	67.41000366210938	51.93000030517578	1		"ahu_isa_lei_leinaala"	11518	92095	0.12506650388240814	0	0		1			0
